5R08A168803;R;08;A;168803;76A;R;26;20M; ;1;5;
5R07T168811;R;07;T;168811;65A;Y;22;29M;72;2;6;
5R07C168816;R;07;C;168816; ; ; ; ; ; ; ;
5R09A168870;R;09;A;168870; ; ; ; ; ; ; ;
5R07K168941;R;07;K;168941;65A;X;26;29M;74;5;5;
5R09A169003;R;09;A;169003; ; ; ; ; ; ; ;
5R07A169151;R;07;A;169151; ; ; ; ; ; ; ;
5R09T169198;R;09;T;169198; ; ; ; ; ; ; ;
5R07C169203;R;07;C;169203;65A;X;26;30M;71;6;6;
5R08A169355;R;08;A;169355; ; ; ; ; ; ; ;
5R07C169386;R;07;C;169386; ; ; ; ; ; ; ;
5R07C169409;R;07;C;169409; ; ; ; ; ; ; ;
5R07T169504;R;07;T;169504; ; ; ; ; ; ; ;
5R07T169506;R;07;T;169506; ; ; ; ; ; ; ;
5R09A169530;R;09;A;169530; ; ; ; ; ; ; ;
5R09C169531;R;09;C;169531; ; ; ; ; ; ; ;
5R08T169541;R;08;T;169541; ; ; ; ; ; ; ;
5R07C169555;R;07;C;169555;65A;H;22;29M;74;2;6;
5R07C169612;R;07;C;169612; ;D; ; ; ; ; ;
5R09A169613;R;09;A;169613; ;A; ; ; ; ; ;
5R09A169614;R;09;A;169614; ;K; ; ; ; ; ;
5R07T169616;R;07;T;169616;65A;J;D5;30M;74;3;1;
5R09A169629;R;09;A;169629; ; ; ; ; ; ; ;
5R07T169656;R;07;T;169656; ; ; ; ; ; ; ;
5R09C169659;R;09;C;169659; ; ; ; ; ; ; ;
5R07C169663;R;07;C;169663; ; ; ; ; ; ; ;
5R09K169677;R;09;K;169677; ; ; ; ; ; ; ;
5R07A169681;R;07;A;169681; ; ; ; ; ; ; ;
5R09A169822;R;09;A;169822; ; ; ; ; ; ; ;
5R08A169840;R;08;A;169840;76B;3;69;30M;21;1;6;
5R07A169924;R;07;A;169924; ; ; ; ; ; ; ;
5R07A169937;R;07;A;169937; ; ; ; ; ; ; ;
5R09A170000;R;09;A;170000; ; ; ; ; ; ; ;
5R07T170078;R;07;T;170078; ; ; ; ; ; ; ;
5R09A170277;R;09;A;170277; ; ; ; ; ; ; ;
5R09A170298;R;09;A;170298;63A;3;D6;05A;71;1;5;
5R09A170300;R;09;A;170300;63A;X;26;05A;72;A;6;
5R07T170381;R;07;T;170381; ; ; ; ; ; ; ;
5R07C170448;R;07;C;170448; ;M; ; ; ; ; ;
5R07C170505;R;07;C;170505; ; ; ; ; ; ; ;
5R09C170535;R;09;C;170535; ; ; ; ; ; ; ;
5R07A170609;R;07;A;170609; ; ; ; ; ; ; ;
5R09A170615;R;09;A;170615; ; ; ; ; ; ; ;
5R08T170625;R;08;T;170625;76A;I;26;05A;74;6;6;
5R07T170647;R;07;T;170647; ; ; ; ; ; ; ;
5R09A170747;R;09;A;170747; ; ; ;20A; ; ; ;
5R09C170773;R;09;C;170773; ; ; ; ; ; ; ;
5R09K170837;R;09;K;170837;63A;J;25;07A;71;5;5;
5R07C170884;R;07;C;170884; ; ; ; ; ; ; ;
5R09C170902;R;09;C;170902; ; ; ; ; ; ; ;
5R07C170904;R;07;C;170904;65A;P;D9;05A;72;6;6;
5R07C171024;R;07;C;171024;65A;M;22;05A;74;6;6;
5R07C171107;R;07;C;171107; ;H; ; ; ; ; ;
5R07C171109;R;07;C;171109; ; ; ; ; ; ; ;
5R08C171160;R;08;C;171160;76A;J;25;06A;75;6;6;
5R09A171184;R;09;A;171184; ; ; ; ; ; ; ;
5R07C171191;R;07;C;171191; ; ; ; ; ; ; ;
5R07A171201;R;07;A;171201; ; ; ; ; ; ; ;
5R09C171202;R;09;C;171202; ; ; ; ; ; ; ;
5R09T171263;R;09;T;171263; ; ; ; ; ; ; ;
5R09A171322;R;09;A;171322; ; ; ; ; ; ; ;
5R07T171431;R;07;T;171431; ; ; ; ; ; ;6;
5R07T171439;R;07;T;171439;65A;Y;D2;09A;71;3;1;
5R09K171474;R;09;K;171474; ; ; ; ; ; ; ;
5R07T171512;R;07;T;171512; ; ; ; ; ; ; ;
5R07C171530;R;07;C;171530; ; ; ; ; ; ; ;
5R07T171577;R;07;T;171577; ; ; ; ; ; ; ;
5R09C171585;R;09;C;171585;63A;A;D6;08A;72;6;1;
5R08C171589;R;08;C;171589; ; ; ; ; ; ; ;
5R09C171660;R;09;C;171660;63A;X;D6;08A;72;6;1;
5R07K171821;R;07;K;171821; ; ; ; ; ; ; ;
5R09T171846;R;09;T;171846; ; ; ; ; ; ; ;
5R09C171854;R;09;C;171854; ; ; ; ; ; ; ;
5R09T171872;R;09;T;171872;63A;M;28; ; ;3;1;
5R09A172001;R;09;A;172001;63A;5;26;05A;51;1;1;
5R09C172053;R;09;C;172053;63A;M;26;08A; ; ;6;
5R09C172066;R;09;C;172066; ; ; ; ; ; ; ;
5R09A172078;R;09;A;172078; ; ; ; ; ; ; ;
5R07T172087;R;07;T;172087; ; ; ; ; ; ; ;
5R09A172092;R;09;A;172092; ; ; ; ; ; ; ;
5R07C172162;R;07;C;172162; ; ; ; ; ; ; ;
5R07C172170;R;07;C;172170; ; ; ; ; ; ; ;
5R09C172179;R;09;C;172179; ; ; ; ; ; ; ;
5R09A172188;R;09;A;172188; ; ; ; ; ; ; ;
5R07T172249;R;07;T;172249; ; ; ; ; ; ; ;
5R07T172395;R;07;T;172395; ; ; ; ; ; ; ;
5R07T172498;R;07;T;172498;65A;Y;22;11A;71;2;6;
5R07A172528;R;07;A;172528; ; ; ; ; ; ; ;
5R07T172548;R;07;T;172548; ; ; ; ; ; ; ;
5R09A172604;R;09;A;172604; ; ; ; ; ; ; ;
5R09C172645;R;09;C;172645; ; ; ; ; ; ; ;
5R07C172665;R;07;C;172665; ; ; ; ; ; ; ;
5R07A172742;R;07;A;172742; ; ; ; ; ; ; ;
5R09A172753;R;09;A;172753; ; ; ; ; ; ; ;
5R09T172787;R;09;T;172787; ; ; ; ; ; ; ;
5R07C172808;R;07;C;172808; ;P; ; ; ; ; ;
5R07T172840;R;07;T;172840;65A;O;D6;09A;75;3;1;
5R07C172870;R;07;C;172870; ; ; ; ; ; ; ;
5R08A172969;R;08;A;172969;76B;5;F6;09A;62;1;5;
5R07T173021;R;07;T;173021; ; ; ; ; ; ; ;
5R09C173114;R;09;C;173114;63A;J;25;12A;71;6;5;
5R07C173152;R;07;C;173152; ; ; ; ; ; ; ;
5R07C173278;R;07;C;173278;65A;C;26;12A;72;6;6;
5R07T173304;R;07;T;173304; ; ; ; ; ; ; ;
5R07T173322;R;07;T;173322; ; ; ; ; ; ; ;
5R09A173333;R;09;A;173333;63A;A;26;07Q;71;E;5;
5R09T173449;R;09;T;173449;63A;M;29; ;61;2;6;
5R07T173488;R;07;T;173488; ; ; ; ; ; ; ;
5R09C173586;R;09;C;173586;63A;A;25;13P;71;1;6;
5R09A173597;R;09;A;173597; ; ; ; ; ; ; ;
5R07T173627;R;07;T;173627; ; ; ; ; ; ; ;
5R09A173658;R;09;A;173658; ; ; ; ; ; ; ;
5R08C173701;R;08;C;173701;76A;J;25;13A;72;6;6;
5R07T173765;R;07;T;173765; ; ; ; ; ; ; ;
5R09A173815;R;09;A;173815; ; ; ; ; ; ; ;
5R09T173837;R;09;T;173837; ; ; ; ; ; ; ;
5R07T173881;R;07;T;173881; ; ; ; ; ; ; ;
5R07T173912;R;07;T;173912; ; ; ; ; ; ; ;
5R07T173919;R;07;T;173919;65A;M;22;13A;75;2;6;
5R07C173956;R;07;C;173956; ; ; ; ; ; ; ;
5R09A174053;R;09;A;174053; ; ; ; ; ; ; ;
5R09A174059;R;09;A;174059; ; ; ; ; ; ; ;
5R08C174130;R;08;C;174130; ; ; ; ; ; ; ;
5R07C174159;R;07;C;174159; ; ; ; ; ; ; ;
5R07C174174;R;07;C;174174;65A;M;22; ; ; ;1;
5R09A174229;R;09;A;174229; ; ; ; ; ; ; ;
5R09A174266;R;09;A;174266; ; ; ; ; ; ; ;
5R08A174287;R;08;A;174287;76A;Y;22;14A;72;1;6;
5R07T174338;R;07;T;174338; ; ; ; ; ; ; ;
5R07T174347;R;07;T;174347; ; ; ; ; ; ; ;
5R09T174440;R;09;T;174440;63A;3;26;14A;75;3;1;
5R07T174445;R;07;T;174445; ; ; ; ; ; ; ;
5R07C174454;R;07;C;174454; ; ; ; ; ; ; ;
5R07T174488;R;07;T;174488; ; ; ; ; ; ; ;
5R07C174497;R;07;C;174497; ; ; ; ; ; ; ;
5R07C174501;R;07;C;174501; ; ; ; ; ; ; ;
5R07T174563;R;07;T;174563; ; ; ; ; ; ; ;
5R07C174596;R;07;C;174596;65A;3;26;15A;71;6;6;
5R07C174602;R;07;C;174602; ; ; ; ; ; ; ;
5R07T174636;R;07;T;174636; ; ; ; ; ; ; ;
5R08C174645;R;08;C;174645; ; ; ; ; ; ; ;
5R09T174707;R;09;T;174707; ; ; ; ; ; ; ;
5R07A174758;R;07;A;174758;65A;M;26;15A;72;1;6;
5R08C174782;R;08;C;174782; ; ; ; ; ; ; ;
5R09A174797;R;09;A;174797; ; ; ; ; ; ; ;
5R07T174872;R;07;T;174872;65A;7;79;15A;75;2;6;
5R09K174938;R;09;K;174938; ; ; ; ; ; ; ;
5R08K174941;R;08;K;174941; ; ; ; ; ; ; ;
5R08C175005;R;08;C;175005; ; ; ; ; ; ; ;
5R09C175030;R;09;C;175030; ; ; ; ; ; ; ;
5R09C175040;R;09;C;175040; ; ; ; ; ; ; ;
5R07A175044;R;07;A;175044; ; ; ; ; ; ; ;
5R09C175059;R;09;C;175059; ; ; ; ; ; ; ;
5R08C175080;R;08;C;175080; ; ; ; ; ; ; ;
5R09K175193;R;09;K;175193; ; ; ; ; ; ; ;
5R07C175319;R;07;C;175319; ; ; ; ; ; ; ;
5R09T175350;R;09;T;175350; ; ; ; ; ; ; ;
5R09C175383;R;09;C;175383; ; ; ; ; ; ; ;
5R08C175400;R;08;C;175400;76A;7;D6;13A;63;6;6;
5R07C175446;R;07;C;175446; ; ; ; ; ; ; ;
5R08C175455;R;08;C;175455; ; ; ; ; ; ; ;
5R09K175460;R;09;K;175460; ; ; ; ; ; ; ;
5R07T175549;R;07;T;175549; ; ; ; ; ; ; ;
5R07T175560;R;07;T;175560; ; ; ; ; ; ; ;
5R07T175576;R;07;T;175576; ; ; ; ; ; ; ;
5R09C175596;R;09;C;175596; ; ; ; ; ; ; ;
5R07T175702;R;07;T;175702; ; ; ; ; ; ; ;
5R08C175718;R;08;C;175718;76A;X;86;18C; ;6;1;
5R07C175855;R;07;C;175855; ; ; ; ; ; ; ;
5R08C175863;R;08;C;175863;76A;M;22;19A;51;6;5;
5R09A175867;R;09;A;175867; ; ; ; ; ; ; ;
5R09A175935;R;09;A;175935; ; ; ; ; ; ; ;
5R07C175996;R;07;C;175996;65A;J;26;19A;71;6;6;
5R07T175997;R;07;T;175997; ; ; ; ; ; ; ;
5R08C176066;R;08;C;176066; ; ; ; ; ; ; ;
5R07C176090;R;07;C;176090;65A;Y;D9;12B;72;1;6;
5R07C176098;R;07;C;176098; ; ; ; ; ; ; ;
5R09C176116;R;09;C;176116; ; ; ; ; ; ; ;
5R09A176129;R;09;A;176129; ; ; ; ; ; ; ;
5R07T176131;R;07;T;176131; ; ; ; ; ; ; ;
5R07C176201;R;07;C;176201; ; ; ; ; ; ; ;
5R09A176216;R;09;A;176216; ; ; ; ; ; ; ;
5R09C176242;R;09;C;176242; ; ; ; ; ; ; ;
5R07T176243;R;07;T;176243; ; ; ; ; ; ; ;
5R07T176256;R;07;T;176256;65A;J;D5;19A;75;2;6;
5R09C176290;R;09;C;176290; ; ; ; ; ; ; ;
5R07C176291;R;07;C;176291; ; ; ; ; ; ; ;
5R07T176303;R;07;T;176303;65A;R;28;21A;51;3;1;
5R07T176373;R;07;T;176373; ; ; ; ; ; ; ;
5R07T176415;R;07;T;176415;65A;3;D6;20A;71;3;1;
5R07T176423;R;07;T;176423; ; ; ; ; ; ; ;
5R07A176503;R;07;A;176503; ; ; ; ; ; ; ;
5R07C176519;R;07;C;176519; ; ; ; ; ; ; ;
5R07A176588;R;07;A;176588; ; ; ; ; ; ; ;
5R07C176593;R;07;C;176593; ; ; ; ; ; ; ;
5R07A176598;R;07;A;176598; ; ; ; ; ; ; ;
5R07T176603;R;07;T;176603; ; ; ; ; ; ; ;
5R07C176608;R;07;C;176608; ; ; ; ; ; ; ;
5R09A176612;R;09;A;176612; ; ; ; ; ; ; ;
5R07T176626;R;07;T;176626; ; ; ; ; ; ; ;
5R07C176748;R;07;C;176748; ; ; ; ; ; ; ;
5R07C176758;R;07;C;176758; ; ; ; ; ; ; ;
5R07T176785;R;07;T;176785;65A;K;26;20A;11;2;6;
5R07A176793;R;07;A;176793; ; ; ; ; ; ; ;
5R08A176803;R;08;A;176803; ; ; ; ; ; ; ;
5R07C176861;R;07;C;176861; ; ; ; ; ; ; ;
5R07C176902;R;07;C;176902; ; ; ; ; ; ; ;
5R09A176933;R;09;A;176933;63A;J;D5;20A;72;1;5;
5R08T176969;R;08;T;176969; ; ; ; ; ; ; ;
5R07A176976;R;07;A;176976; ; ; ; ; ; ; ;
5R07A177069;R;07;A;177069; ; ; ; ; ; ; ;
5R09A177130;R;09;A;177130; ; ; ; ; ; ; ;
5R07A177135;R;07;A;177135;65A;C;28;20A;75;1;5;
5R08C177173;R;08;C;177173;76A;J;25;20A;75;6;6;
5R09C177184;R;09;C;177184; ; ; ; ; ; ; ;
5R08C177185;R;08;C;177185; ; ; ; ; ; ; ;
5R07A177192;R;07;A;177192; ; ; ; ; ; ; ;
5R07T177244;R;07;T;177244; ;X; ; ; ; ; ;
5R07C177255;R;07;C;177255; ; ; ; ; ; ; ;
5R07C177261;R;07;C;177261; ; ; ; ; ; ; ;
5R07A177351;R;07;A;177351; ; ; ; ; ; ; ;
5R09A177442;R;09;A;177442; ; ; ; ; ; ; ;
5R07C177519;R;07;C;177519; ; ; ; ; ; ; ;
5R07C177523;R;07;C;177523;65A; ;26; ;72;6;6;
5R07C177582;R;07;C;177582; ; ; ; ; ; ; ;
5R07T177586;R;07;T;177586; ; ; ; ; ; ; ;
5R09C177598;R;09;C;177598; ; ; ; ; ; ; ;
5R07T177614;R;07;T;177614; ; ; ; ; ; ; ;
5R07K177656;R;07;K;177656;65A;4;26; ;51;8;5;
5R09A177834;R;09;A;177834;63A;Y;22;23A;71;1;6;
5R09A177881;R;09;A;177881;63A;3;26;23A;72;1;5;
5R09T177918;R;09;T;177918; ; ; ; ; ; ; ;
5R07T177932;R;07;T;177932;65A;M;22;23A;72;2;6;
5R09T178014;R;09;T;178014;63A;5;D6;22A;74;3;5;
5R07A178024;R;07;A;178024; ; ; ; ; ; ; ;
5R08T178066;R;08;T;178066; ; ; ; ; ; ; ;
5R07C178109;R;07;C;178109; ; ; ; ; ; ; ;
5R07C178114;R;07;C;178114; ; ; ; ; ; ; ;
5R09T178117;R;09;T;178117; ; ; ; ; ; ; ;
5R09A178127;R;09;A;178127; ; ; ; ; ; ; ;
5R07C178140;R;07;C;178140; ; ; ; ; ; ; ;
5R07C178152;R;07;C;178152; ; ; ; ; ; ; ;
5R09A178161;R;09;A;178161;63A;X;29;25A;51;1;5;
5R07C178235;R;07;C;178235; ; ; ; ; ; ; ;
5R08A178262;R;08;A;178262; ; ; ; ; ; ; ;
5R07T178303;R;07;T;178303; ; ; ; ; ; ; ;
5R09C178331;R;09;C;178331; ; ; ; ; ; ; ;
5R07A178391;R;07;A;178391;65A;7;26;25A;71;1;6;
5R07T178400;R;07;T;178400; ; ; ; ; ; ; ;
5R09A178451;R;09;A;178451; ; ; ; ; ; ; ;
5R07K178473;R;07;K;178473;65A;C;26;25A;72;5;5;
5R09A178489;R;09;A;178489; ; ; ; ; ; ; ;
5R09A178493;R;09;A;178493;63A;M;25;25A;72;1;5;
5R09C178494;R;09;C;178494; ; ; ; ; ; ; ;
5R09C178532;R;09;C;178532; ; ; ; ; ; ; ;
5R07C178564;R;07;C;178564;65A;Y;D2;25A;74;6;6;
5R09C178596;R;09;C;178596;63A;P;29;25A;15; ; ;
5R09C178665;R;09;C;178665; ; ; ; ; ; ; ;
5R09A178681;R;09;A;178681; ; ; ; ; ; ; ;
5R07C178905;R;07;C;178905; ; ; ; ; ; ; ;
5R07T178942;R;07;T;178942;65A; ; ; ; ; ; ;
5R09C178975;R;09;C;178975; ; ; ; ; ; ; ;
5R07T178994;R;07;T;178994; ; ; ; ; ; ; ;
5R09C179016;R;09;C;179016; ; ; ; ; ; ; ;
5R07A179032;R;07;A;179032; ;J; ; ; ; ; ;
5R07C179033;R;07;C;179033; ;P; ; ; ; ; ;
5R09C179034;R;09;C;179034; ;X; ; ; ; ; ;
5R09C179044;R;09;C;179044; ; ; ; ; ; ; ;
5R07C179074;R;07;C;179074;65A;Y;22;26A;75;6;6;
5R07K179123;R;07;K;179123; ; ; ; ; ; ; ;
5R07T179139;R;07;T;179139; ; ; ; ; ; ; ;
5R09C179162;R;09;C;179162;63A;K;25;28A;62;6;1;
5R07K179221;R;07;K;179221;65A;J;86;28A;71;5;6;
5R08C179272;R;08;C;179272;76A;X;26;27A;71;6;6;
5R07C179387;R;07;C;179387; ; ; ; ; ; ; ;
5R08A179409;R;08;A;179409; ; ; ; ; ; ; ;
5R09A179424;R;09;A;179424; ; ; ; ; ; ; ;
5R09C179451;R;09;C;179451; ; ; ; ; ; ; ;
5R07T179469;R;07;T;179469; ; ; ; ; ; ; ;
5R09C179476;R;09;C;179476;63A;O;D6;28A;71;6;6;
5R08C179497;R;08;C;179497; ; ; ; ; ; ; ;
5R07C179510;R;07;C;179510; ; ; ; ; ; ; ;
5R09A179523;R;09;A;179523; ; ; ; ; ; ; ;
5R07A179537;R;07;A;179537; ; ; ; ; ; ; ;
5R09C179539;R;09;C;179539; ; ; ; ; ; ; ;
5R07A179562;R;07;A;179562; ; ; ; ; ; ; ;
5R07K179632;R;07;K;179632; ; ; ; ; ; ; ;
5R08C179650;R;08;C;179650; ; ; ; ; ; ; ;
5R07C179660;R;07;C;179660; ; ; ; ; ; ; ;
5R09C179682;R;09;C;179682;63A;Y;22;28A;72;6;6;
5R07T179687;R;07;T;179687; ; ; ; ; ; ; ;
5R07T179701;R;07;T;179701; ; ; ; ; ; ; ;
5R07A179723;R;07;A;179723; ; ; ; ; ; ; ;
5R07C179822;R;07;C;179822; ; ; ; ; ; ; ;
5R08C179840;R;08;C;179840; ; ; ; ; ; ; ;
5R07T179881;R;07;T;179881; ;Y; ; ; ; ; ;
5R07A179882;R;07;A;179882; ;H; ; ; ; ; ;
5R08C179910;R;08;C;179910;76A;H;22;27A;75;6;6;
5R09T179965;R;09;T;179965; ; ; ; ; ; ; ;
5R07C180029;R;07;C;180029; ; ; ; ; ; ; ;
5R07C180033;R;07;C;180033; ; ; ; ; ; ; ;
5R07A180096;R;07;A;180096; ; ; ; ; ; ; ;
5R08A180146;R;08;A;180146; ; ; ; ; ; ; ;
5R09C180202;R;09;C;180202;63A;J;25;29A;72;6;5;
5R07C180268;R;07;C;180268; ; ; ; ; ; ; ;
5R09A180368;R;09;A;180368;63B;Y;62;28A;0;A;6;
5R09C180396;R;09;C;180396;63A;R;28;29A;75;6;1;
5R07C180412;R;07;C;180412;65A;M;22;28A;51;6;6;
5R08C180470;R;08;C;180470; ; ; ; ; ; ; ;
5R09C180482;R;09;C;180482; ; ; ; ; ; ; ;
5R09C180626;R;09;C;180626; ; ; ; ; ; ; ;
5R07C180630;R;07;C;180630; ; ; ; ; ; ; ;
5R07C180741;R;07;C;180741; ; ; ; ; ; ; ;
5R09A180748;R;09;A;180748;63A;Y;22;30A;72;1;5;
5R08C180819;R;08;C;180819; ; ; ; ; ; ; ;
5R07C180831;R;07;C;180831; ; ; ; ; ; ; ;
5R07T180889;R;07;T;180889; ; ; ; ; ; ; ;
5R07C180944;R;07;C;180944; ; ; ; ; ; ; ;
5R07C180982;R;07;C;180982; ; ; ; ; ; ; ;
5R09A181019;R;09;A;181019;63A;M;26;30A;71;1;6;
5R07C181056;R;07;C;181056; ; ; ; ; ; ; ;
5R08C181080;R;08;C;181080; ; ; ; ; ; ; ;
5R07T181128;R;07;T;181128; ; ; ; ; ; ; ;
5R09C181141;R;09;C;181141; ; ; ; ; ; ; ;
5R09A181154;R;09;A;181154; ; ; ; ; ; ; ;
5R07C181174;R;07;C;181174; ; ; ; ; ; ; ;
5R07C181219;R;07;C;181219; ; ; ; ; ; ; ;
5R07C181243;R;07;C;181243; ; ; ; ; ; ; ;
5R07T181256;R;07;T;181256; ; ; ; ; ; ; ;
5R07C181276;R;07;C;181276; ; ; ; ; ; ; ;
5R08K181348;R;08;K;181348;76A;-;26;01B;711377;5;5;
5R07T181436;R;07;T;181436; ; ; ; ; ; ; ;
5R07T181447;R;07;T;181447; ; ; ; ; ; ; ;
5R07T181499;R;07;T;181499; ; ; ; ; ; ; ;
5R07T181510;R;07;T;181510; ; ; ; ; ; ; ;
5R07T181591;R;07;T;181591; ; ; ; ; ; ; ;
5R07T181601;R;07;T;181601; ; ; ; ; ; ; ;
5R07A181646;R;07;A;181646; ; ; ; ; ; ; ;
5R09K181677;R;09;K;181677; ; ; ; ; ; ; ;
5R09C181809;R;09;C;181809; ; ; ; ; ; ; ;
5R09C181810;R;09;C;181810; ; ; ; ; ; ; ;
5R09C181848;R;09;C;181848;63A;C;28;03B;71;6;6;
5R09C181863;R;09;C;181863; ; ; ; ; ; ; ;
5R07C181881;R;07;C;181881; ; ; ; ; ; ; ;
5R07C181925;R;07;C;181925; ; ; ; ; ; ; ;
5R09C182029;R;09;C;182029; ; ; ; ; ; ; ;
5R07A182152;R;07;A;182152; ; ; ; ; ; ; ;
5R07A182167;R;07;A;182167; ; ; ; ; ; ; ;
5R07C182168;R;07;C;182168; ; ; ; ; ; ; ;
5R07C182194;R;07;C;182194; ; ; ; ; ; ; ;
5R07C182214;R;07;C;182214;65A;5;26;04B;72;6;6;
5R09C182261;R;09;C;182261; ; ; ; ; ; ; ;
5R09C182263;R;09;C;182263;65A;J;D5;02B;72;6;6;
5R09T182334;R;09;T;182334; ; ; ; ; ; ; ;
5R09A182391;R;09;A;182391; ; ; ; ; ; ; ;
5R07T182442;R;07;T;182442; ; ; ; ; ; ; ;
5R09C182449;R;09;C;182449;63A;X;D6;04B;74;6;6;
5R09A182463;R;09;A;182463; ; ; ; ; ; ; ;
5R07T182487;R;07;T;182487; ; ; ; ; ; ; ;
5R07C182498;R;07;C;182498; ; ; ; ; ; ; ;
5R09C182548;R;09;C;182548;63A;C;28;01B;74;6;5;
5R07A182556;R;07;A;182556;65A;7; ;02B;74;1;6;
5R07T182568;R;07;T;182568; ; ; ; ; ; ; ;
5R07C182585;R;07;C;182585; ; ; ; ; ; ; ;
5R07C182632;R;07;C;182632; ; ; ; ; ; ; ;
5R08C182640;R;08;C;182640; ; ; ; ; ; ; ;
5R07C182642;R;07;C;182642; ; ; ; ; ; ; ;
5R07A182682;R;07;A;182682;65A;A;26;05B;51;1;5;
5R09A182685;R;09;A;182685; ; ; ; ; ; ; ;
5R07K182713;R;07;K;182713;65A;H;22;05B;51;8;5;
5R07T182728;R;07;T;182728; ; ; ; ; ; ; ;
5R07T182746;R;07;T;182746; ; ; ; ; ; ; ;
5R07C182753;R;07;C;182753; ; ; ; ; ; ; ;
5R07C182825;R;07;C;182825; ; ; ; ; ; ; ;
5R09A182838;R;09;A;182838; ; ; ; ; ; ; ;
5R09A182839;R;09;A;182839; ; ; ; ; ; ; ;
5R09C182858;R;09;C;182858; ; ; ; ; ; ; ;
5R07C182937;R;07;C;182937;65A;J;26;05B;71;6;6;
5R08C182963;R;08;C;182963; ; ; ; ; ; ; ;
5R07C182991;R;07;C;182991; ; ; ; ; ; ; ;
5R07A182996;R;07;A;182996; ; ; ; ; ; ;6;
5R07C183036;R;07;C;183036;65A;K;25;05B;72;6;6;
5R09C183041;R;09;C;183041; ; ; ; ; ; ; ;
5R07T183139;R;07;T;183139; ; ; ; ; ; ; ;
5R07C183174;R;07;C;183174; ; ; ; ; ; ; ;
5R07T183254;R;07;T;183254;65A;C;28;04B;75;3;5;
5R07T183256;R;07;T;183256; ; ; ; ; ; ; ;
5R08C183269;R;08;C;183269;76A;J;25;04B;75;6;6;
5R07T183271;R;07;T;183271;65A;A; ;04B;75; ; ;
5R07C183281;R;07;C;183281; ; ; ; ; ; ; ;
5R08C183355;R;08;C;183355; ; ; ; ; ; ; ;
5R08A183356;R;08;A;183356; ; ; ; ; ; ; ;
5R09C183362;R;09;C;183362; ; ; ; ; ; ; ;
5R08A183374;R;08;A;183374;76B;A;66;06B;71;1;6;
5R07T183473;R;07;T;183473; ; ; ; ; ; ; ;
5R09C183582;R;09;C;183582; ; ; ; ; ; ; ;
5R07T183611;R;07;T;183611; ; ; ; ; ; ; ;
5R07T183623;R;07;T;183623; ; ; ; ; ; ; ;
5R09C183653;R;09;C;183653; ;M; ; ; ; ; ;
5R07T183674;R;07;T;183674; ; ; ; ; ; ;6;
5R08T183727;R;08;T;183727; ; ; ; ; ; ; ;
5R07C183762;R;07;C;183762; ; ; ; ; ; ; ;
5R07T183765;R;07;T;183765; ; ; ; ; ; ; ;
5R08C183867;R;08;C;183867; ; ; ; ; ; ; ;
5R07A183956;R;07;A;183956; ; ; ; ; ; ; ;
5R07C183981;R;07;C;183981; ; ; ; ; ; ; ;
5R07C184044;R;07;C;184044; ; ; ; ; ; ; ;
5R08A184137;R;08;A;184137; ; ; ; ; ; ; ;
5R07C184178;R;07;C;184178;65A;M;D8;08B;72;6;6;
5R09A184203;R;09;A;184203; ; ; ; ; ; ; ;
5R07C184228;R;07;C;184228; ; ; ; ; ; ; ;
5R07A184251;R;07;A;184251; ; ; ; ; ; ; ;
5R09A184252;R;09;A;184252;63A;J;D5;08B;74;1;5;
5R07T184257;R;07;T;184257; ; ; ; ; ; ; ;
5R07T184277;R;07;T;184277;65A;Y;22;08B;74;3;1;
5R07T184315;R;07;T;184315; ; ; ; ; ; ; ;
5R07C184359;R;07;C;184359; ; ; ; ; ; ; ;
5R07T184393;R;07;T;184393;65A;D;D6;09B;62; ; ;
5R07T184396;R;07;T;184396; ; ; ; ; ; ; ;
5R07C184410;R;07;C;184410;65A;8;26;10B;71;6;6;
5R07C184442;R;07;C;184442;65A;2;26;10B;71;6;6;
5R07C184473;R;07;C;184473; ; ; ; ; ; ; ;
5R08A184567;R;08;A;184567;76A;D;D6;10B;71;1;6;
5R08A184576;R;08;A;184576;76A;D;D6;10B;71;1;6;
5R07C184587;R;07;C;184587; ; ; ; ; ; ; ;
5R09A184638;R;09;A;184638;63A;5;26; ; ; ; ;
5R07C184672;R;07;C;184672; ; ; ; ; ; ; ;
5R09T184679;R;09;T;184679; ; ; ; ; ; ; ;
5R09C184683;R;09;C;184683; ; ; ; ; ; ; ;
5R07T184688;R;07;T;184688; ; ; ; ; ; ; ;
5R07C184692;R;07;C;184692; ; ; ; ; ; ; ;
5R09T184694;R;09;T;184694; ; ; ; ; ; ; ;
5R07C184700;R;07;C;184700; ; ; ; ; ; ; ;
5R09C184746;R;09;C;184746; ;J; ; ; ; ; ;
5R07T184759;R;07;T;184759; ; ; ;09B;75; ; ;
5R09C184764;R;09;C;184764;63A;J;25;09B;75;6;6;
5R07T184783;R;07;T;184783;65A;M;22;09B;75;3;1;
5R07T184871;R;07;T;184871; ; ; ; ; ; ; ;
5R09A184986;R;09;A;184986;63A;A;26; ;74;1;6;
5R07C184996;R;07;C;184996; ; ; ; ; ; ; ;
5R07A185006;R;07;A;185006; ; ; ; ; ; ; ;
5R07C185059;R;07;C;185059; ; ; ; ; ; ; ;
5R09A185086;R;09;A;185086; ; ; ; ; ; ; ;
5R07A185103;R;07;A;185103; ; ; ; ; ; ; ;
